agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,nivel_ensenanza,nivel_ensenanza_agregado,numero_alumnos
2006,25304,COLEGIO PAUL HARRIS SCHOOL,EL BOSQUE,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.57566344,-70.68635337,Enseñanza Básica Niños,Enseñanza Básica,256
2006,25304,COLEGIO PAUL HARRIS SCHOOL,EL BOSQUE,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.57566344,-70.68635337,Enseñanza Media HC Jóvenes,Enseñanza Media,450
2006,25304,COLEGIO PAUL HARRIS SCHOOL,EL BOSQUE,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.57566344,-70.68635337,Enseñanza Media TP Jóvenes,Enseñanza Media,164
2006,25305,ESCUELA ESPECIAL ARCOIRIS DE EL BOSQUE,EL BOSQUE,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,56
2006,25306,ESCUELA ESPECIAL TODOS LOS SANTOS,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,258
2006,25307,ESCUELA ESPECIAL OTTAWA,PADRE HURTADO,Talagante,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,127
2006,25308,ESCUELA BASICA BELEN SCHOOL,RENCA,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,118
2006,25308,ESCUELA BASICA BELEN SCHOOL,RENCA,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Enseñanza Básica Niños,Enseñanza Básica,418
2006,25310,COLEGIO SAN NICOL?S DI?CONO,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Rural,Funcionando,-33.27973566,-70.70319747,Educación Parvularia,Educación Parvularia,104
2006,25310,COLEGIO SAN NICOL?S DI?CONO,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Rural,Funcionando,-33.27973566,-70.70319747,Enseñanza Básica Niños,Enseñanza Básica,214
2006,25310,COLEGIO SAN NICOL?S DI?CONO,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Rural,Funcionando,-33.27973566,-70.70319747,Enseñanza Media HC Jóvenes,Enseñanza Media,85
2006,25314,ESCUELA B?SICA 1737 LOS ALERCES DE MAIP?,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Municipal,Urbano,Funcionando,-33.53872983,-70.77757984,Educación Parvularia,Educación Parvularia,121
2006,25314,ESCUELA B?SICA 1737 LOS ALERCES DE MAIP?,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Municipal,Urbano,Funcionando,-33.53872983,-70.77757984,Enseñanza Básica Niños,Enseñanza Básica,1269
2006,25315,ESCUELA PUERTO FUTURO,PUDAHUEL,Poniente,METROPOLITANA DE SANTIAGO,13,Municipal,Urbano,Funcionando,-33.46138249,-70.74396906,Educación Parvularia,Educación Parvularia,154
2006,25315,ESCUELA PUERTO FUTURO,PUDAHUEL,Poniente,METROPOLITANA DE SANTIAGO,13,Municipal,Urbano,Funcionando,-33.46138249,-70.74396906,Enseñanza Básica Niños,Enseñanza Básica,719
2006,25316,ESCUELA BASICA N_ 1739 PUELMAPU,PE?ALOL?N,Oriente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.47068172,-70.54542900,Enseñanza Básica Niños,Enseñanza Básica,181
2006,25317,ESC. ESP. PART, PALOMAR DE QUILICURA,QUILICURA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,118
2006,25318,COLEGIO TEC. PROFESIONAL DON ENRIQUE ALVEAR,CERRO NAVIA,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Enseñanza Media TP Jóvenes,Enseñanza Media,471
2006,25319,ESC. BAS. Y ESP. PART. KIMKELEN,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.58778176,-70.67720411,Educación Especial,Educación Especial,145
2006,25319,ESC. BAS. Y ESP. PART. KIMKELEN,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.58778176,-70.67720411,Educación Parvularia,Educación Parvularia,42
2006,25319,ESC. BAS. Y ESP. PART. KIMKELEN,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.58778176,-70.67720411,Enseñanza Básica Niños,Enseñanza Básica,300
2006,25320,ESCUELA  ESPEC. VIRGEN DE LAS PENAS,SANTIAGO,Centro,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,54
2006,25322,CENTRO EDUCACIONAL DE ADULTOS RAFAEL SOTOMAYO,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Enseñanza Media HC Adultos,Enseñanza Media,120
2006,25323,COLEGIO PARTICULAR SAINT JOSEPH,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,30
2006,25323,COLEGIO PARTICULAR SAINT JOSEPH,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Enseñanza Básica Niños,Enseñanza Básica,231
2006,25323,COLEGIO PARTICULAR SAINT JOSEPH,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Enseñanza Media HC Jóvenes,Enseñanza Media,177
2006,25324,ESCUELA BASICA QUITALMAHUE,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.63195995,-70.62390914,Educación Parvularia,Educación Parvularia,191
2006,25324,ESCUELA BASICA QUITALMAHUE,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.63195995,-70.62390914,Enseñanza Básica Niños,Enseñanza Básica,973
2006,25325,ESC, ESP. PART. SAN JOSE DE TALAGANTE,TALAGANTE,Talagante,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,96
2006,25327,ESC. ESPEC. PART. LAS CAMELIAS,CONCHAL?,Norte,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,50
2006,25328,INSTITUTO CRISTIANO LUIS GANDARILLAS,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.50469098,-70.75454706,Enseñanza Básica Niños,Enseñanza Básica,397
2006,25329,COLEGIO SANTA CRUZ DE CHICUREO,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Urbano,Funcionando,-33.28643299,-70.67357317,Educación Parvularia,Educación Parvularia,247
2006,25329,COLEGIO SANTA CRUZ DE CHICUREO,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Urbano,Funcionando,-33.28643299,-70.67357317,Enseñanza Básica Niños,Enseñanza Básica,356
2006,25330,COLEGIO PART. FUNCASE DE PUENTE ALTO,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.62501944,-70.58049783,Enseñanza Media HC Jóvenes,Enseñanza Media,105
2006,25330,COLEGIO PART. FUNCASE DE PUENTE ALTO,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.62501944,-70.58049783,Enseñanza Media TP Jóvenes,Enseñanza Media,54
2006,25331,ESCUELA BASICA PART. CRISTIANO DE LOS HEROES,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.53473517,-70.77441834,Educación Parvularia,Educación Parvularia,140
2006,25331,ESCUELA BASICA PART. CRISTIANO DE LOS HEROES,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.53473517,-70.77441834,Enseñanza Básica Niños,Enseñanza Básica,245
2006,25332,COLEGIO MONTESSORI PUCALAN,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Urbano,Funcionando,-33.24184283,-70.70037999,Educación Parvularia,Educación Parvularia,61
2006,25332,COLEGIO MONTESSORI PUCALAN,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Urbano,Funcionando,-33.24184283,-70.70037999,Enseñanza Básica Niños,Enseñanza Básica,264
2006,25332,COLEGIO MONTESSORI PUCALAN,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Urbano,Funcionando,-33.24184283,-70.70037999,Enseñanza Media HC Jóvenes,Enseñanza Media,80
2006,25333,ESC. ESPECIAL PART. MARTA Y BERTA,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Especial,Educación Especial,72
2006,25334,ESCUELA BASICA RAICES ALTAZOR,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.52939196,-70.55329982,Enseñanza Básica Niños,Enseñanza Básica,190
2006,25337,COLEGIO CRISTIANO GANDARILLAS,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,22
2006,25337,COLEGIO CRISTIANO GANDARILLAS,MAIP?,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,0.00000000,0.00000000,Enseñanza Media HC Jóvenes,Enseñanza Media,262
2006,25339,LICEO MUNICIPAL DE ADULTO MIGUEL CAMPINO LARRAIN,PAINE,Sur,METROPOLITANA DE SANTIAGO,13,Municipal,Urbano,Funcionando,0.00000000,0.00000000,Enseñanza Básica Adultos,Enseñanza Básica,66
2006,25339,LICEO MUNICIPAL DE ADULTO MIGUEL CAMPINO LARRAIN,PAINE,Sur,METROPOLITANA DE SANTIAGO,13,Municipal,Urbano,Funcionando,0.00000000,0.00000000,Enseñanza Media HC Adultos,Enseñanza Media,279
2006,25340,ESCUELA BASICA EL SAUCE,SAN JOS? DE MAIPO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,-33.64261531,-70.35228857,Educación Parvularia,Educación Parvularia,22
2006,25340,ESCUELA BASICA EL SAUCE,SAN JOS? DE MAIPO,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Cerrado,-33.64261531,-70.35228857,Enseñanza Básica Niños,Enseñanza Básica,154
2006,25342,ESCUELA RAIMAPU-TIERRA FLORIDA,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.53056327,-70.58187793,Enseñanza Básica Niños,Enseñanza Básica,349
2006,25342,ESCUELA RAIMAPU-TIERRA FLORIDA,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.53056327,-70.58187793,Enseñanza Media HC Jóvenes,Enseñanza Media,135
2006,25344,ESCUELA BASICA NELQUIHUE,LA GRANJA,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.53760665,-70.61470084,Enseñanza Básica Niños,Enseñanza Básica,64
2006,25346,ESCUELA PARVULARIA PARTICULAR FRANCISCO DE AS,QUINTA NORMAL,Poniente,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,0.00000000,0.00000000,Educación Parvularia,Educación Parvularia,59
2006,25347,COLEGIO SEBASTIAN EL CANO SAN BERNARDO,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.60732111,-70.69657234,Educación Parvularia,Educación Parvularia,17
2006,25347,COLEGIO SEBASTIAN EL CANO SAN BERNARDO,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.60732111,-70.69657234,Enseñanza Básica Niños,Enseñanza Básica,324
2006,25347,COLEGIO SEBASTIAN EL CANO SAN BERNARDO,SAN BERNARDO,Sur,METROPOLITANA DE SANTIAGO,13,Particular Subvencionado,Urbano,Funcionando,-33.60732111,-70.69657234,Enseñanza Media HC Jóvenes,Enseñanza Media,261
2006,25348,COLEGIO  SAN JOSE DE CHICUREO,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Urbano,Funcionando,-33.23681542,-70.67007284,Educación Parvularia,Educación Parvularia,116
2006,25348,COLEGIO  SAN JOSE DE CHICUREO,COLINA,Norte,METROPOLITANA DE SANTIAGO,13,Particular Pagado,Urbano,Funcionando,-33.23681542,-70.67007284,Enseñanza Básica Niños,Enseñanza Básica,292
