Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
4183;"COOPERATIVA DE TRABAJO PANALIMENTARIO LIMITADA DE SIGLA ""COOPANAL LTDA.""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4185;COOPERATIVA DE TRABAJO HORTALICERAS DE PUERTO ELVIRA, DE NOMBRE DE FANTASIA LA UNIDAD;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4186;"COOPERATIVA DE TRABAJO VORTICE, DE NOMBRE DE FANTASIA ""VORTICOOP""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4187;COOPERATIVA DE TRABAJO SAN JUAN, DE NOMBRE DE FANTASIA COOPERATIVA SAN JUAN.;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4189;COOPERATIVA DE TRABAJO EX-PERSONAL DE LA COMPAÑIA DE TELECOMUNICACIONES DE CHILE S.A. Y FILIALES LIMITADA, DE SI;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4191;COOPERATIVA DE TRABAJO, TECNOLOGIA Y DESARROLLO DEL SUR, DE NOMBRE DE FANTASIA RAICES DEL FUTURO;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4195;COOPERATIVA DE TRABAJO, EDUCACION E INVESTIGACION DE LA DECIMA REGION LTDA., DE NOMBRE DE FANTASIA CHILEAN BERRY;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4197;COOPERATIVA DE TRABAJO EN PRESTACION DE SERVICIOS AGROPECUARIOS Y TURISTICOS FLORES DEL VIENTO LIMITADA, DE NOMBRE DE FA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4200;"COOPERATIVA DE TRABAJO DE PRODUCCION, CONFECCIONES TEXTILES Y SERVICIOS EL PROGRESO, DE SIGLA ""PROTEXSERVI LIMITADA""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4202;COOPERATIVA DE TRABAJO ANCUD, DE NOMBRE DE FANTASIA HUAIHUEN;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4205;"MATRIZ COOPERATIVA DE TRABAJO Y PRODUCCION DE NOMBRE DE FANTASIA ""MATRIZ""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4207;COOPERATIVA DE TRABAJO DE PRODUCCION Y TRANSFORMACION COOPEMAR TRUMAO LTDA.;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4208;COOPERATIVA DE TRABAJO Y CAPACITACION DE OFICIO LABORAL LIMITADA, DE SIGLA COOTRATAL LTDA.;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4209;COOPERATIVA DE TRABAJO PARA EL DESARROLLO SUSTENTABLE TERRITORIO SUR;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
