agno,rbd,nombre_establecimiento,nombre_comuna,nombre_deprov,nombre_region,numero_region,dependencia,area_geografica,estado,latitud,longitud,simce_leng,simce_mate,simce_comp,simce_nat,simce_soc,alumnos_leng,alumnos_mate,alumnos_comp,alumnos_nat,alumnos_soc
2009,24891,COLEGIO PABLO DE TARSO,VITACURA,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.38333156,-70.54955752,236,225,,209,,7,7,,209,
2009,24892,COLEGIO POLIVALENTE ARAUCARIA,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.61468715,-70.56897008,249,239,,241,,99,97,,241,
2009,24893,ESCUELA NOVOMAR,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.61228196,-70.58924358,215,190,,213,,19,19,,213,
2009,24894,COLEGIO ARAUCARIA CORDILLERA,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.58308522,-70.57198575,314,306,,289,,60,60,,289,
2009,24897,COLEGIO FARMLAND SCHOOL,CURACAVÍ,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.40654979,-71.13407181,294,290,,283,,14,14,,283,
2009,24898,COLEGIO SAN FRANCISCO MISIONERO,MAIPÚ,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,RURAL,FUNCIONANDO,-33.56404235,-70.78576802,279,279,,269,,15,15,,269,
2009,24906,ESCUELA BASICA DOLMEN,CURACAVÍ,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.40390568,-71.12894334,,,,,,2,2,,,
2009,24907,COLEGIO  SANTA MARIA DE PIRQUE,PIRQUE,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.63411073,-70.57121973,293,270,,290,,10,10,,290,
2009,24908,COLEGIO PEDRO DE VALDIVIA LAS CONDES,LAS CONDES,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.37022669,-70.50864231,303,306,,309,,58,57,,309,
2009,24912,COLEGIO SANTA MONICA DE MELIPILLA,MELIPILLA,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.68367509,-71.21690502,287,297,,284,,20,20,,284,
2009,24913,COLEGIO NUESTRA SENORA DE LA MERCED,MELIPILLA,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.67797746,-71.18853439,273,242,,261,,33,33,,261,
2009,24916,ESCUELA BASICA TACORA,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.60968157,-70.56972005,215,214,,229,,9,8,,229,
2009,24920,ESC. BAS. PART. ALBERT SCHWITZER LA FLORIDA,LA FLORIDA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.56357731,-70.57565016,226,216,,202,,6,6,,202,
2009,24927,COLEGIO SAN  ANSELMO,COLINA,Stgo. Norte (Chacabuco),METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.27289667,-70.64244824,311,326,,311,,100,100,,311,
2009,24930,CENTRO EDUCACIONAL FUNDACION PAULA JARAQUEMAD,PEÑALOLÉN,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.47386781,-70.53578974,259,266,,258,,32,32,,258,
2009,24931,ESC.PART.ALVARO COVARRUBIAS ARLEGUI ANEX,INDEPENDENCIA,Stgo. Norte (Chacabuco),METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.40289930,-70.65854604,305,280,,267,,14,14,,267,
2009,24935,COLEGIO POLIV. SIEMBRA,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.62474442,-70.60812149,245,226,,218,,45,43,,218,
2009,24944,COLEGIO NUESTRA SEÑORA DEL CAMINO,LA REINA,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.44427022,-70.55237232,295,284,,289,,25,26,,289,
2009,24946,COLEGIO JORGE HUNEEUS ZEGERS,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.56442665,-70.62983945,274,267,,267,,128,131,,267,
2009,24954,COLEGIO EL REDENTOR,MAIPÚ,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.50267164,-70.76402194,271,262,,261,,42,42,,261,
2009,24956,COLEGIO TECNICO PROFESIONAL NOCEDAL,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.59505930,-70.61554455,275,262,,269,,70,70,,269,
2009,24959,COMPL.EDUCACIONAL BRIGIDA WALKER  ANEXO,ÑUÑOA,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.46710068,-70.61895490,246,232,,248,,25,26,,248,
2009,24960,ESCUELA BASICA PARTICULAR HORIZONTE 11,CERRO NAVIA,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.41653806,-70.74507204,271,266,,270,,60,59,,270,
2009,24963,ESCUELA BAS. PART. DE SANTA MARIA,EL MONTE,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.67936103,-70.99220915,232,215,,227,,58,56,,227,
2009,24966,COLEGIO SAN FELIPE,PUDAHUEL,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.46267491,-70.73734565,247,223,,231,,30,30,,231,
2009,24969,COLEGIO PADRE HURTADO DE PUDAHUEL,PUDAHUEL,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.45827040,-70.75234164,243,246,,246,,42,42,,246,
2009,24971,COLEGIO EL ENCUENTRO,PEÑALOLÉN,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,RURAL,FUNCIONANDO,-33.50307585,-70.54975074,261,267,,265,,22,22,,265,
2009,24972,ESCUELA BAS. NUESTRA SENORA MARIA INMACULADA,EL BOSQUE,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.55466737,-70.67588514,272,253,,259,,158,116,,259,
2009,24976,COLEGIO SAN FELIPE DIACONO,CALERA DE TANGO,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.57673675,-70.77152842,304,302,,299,,55,53,,299,
2009,24977,COLEGIO MAYOR TOBALABA,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.56198789,-70.55586532,301,305,,313,,50,52,,313,
2009,24978,COLEGIO PART.POLITECNICO EYZAGUIRRE,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.61618552,-70.60817804,293,278,,280,,56,58,,280,
2009,24979,COLEGIO LOS ALERCES,LO BARNECHEA,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.36406325,-70.51856351,319,330,,316,,56,55,,316,
2009,24983,ESCUELA BASICA QUERUBIN SCHOOL,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.59389914,-70.57685872,,,,,,2,2,,,
2009,24986,COLEGIO CENTENARIO,MAIPÚ,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.49970125,-70.76046340,283,270,,289,,44,44,,289,
2009,24987,ESCUELA ANDES DEL SUR,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.56725570,-70.56578454,247,224,,233,,129,132,,233,
2009,24988,COLEGIO ALMENAR DEL MAIPO,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.59737615,-70.51659513,310,303,,302,,29,29,,302,
2009,24989,COMPLEJO EDUC. LUIS PASTEUR, ANEXO,PADRE HURTADO,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.56565887,-70.80363978,235,233,,250,,63,61,,250,
2009,24992,COLEGIO THE CASBOR SCHOOL,LAS CONDES,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,CERRADO,-33.39883393,-70.54464535,,,,,,4,4,,,
2009,24995,COLEGIO SAN FERNANDO DE PUENTE ALTO,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.62330941,-70.57740517,266,267,,261,,20,19,,261,
2009,24997,ESCUELA SANTA MARIA DE PENALOLEN,PEÑALOLÉN,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.48036582,-70.57208615,211,220,,198,,44,43,,198,
2009,24999,ESCUELA PROFESORA MARIA LUISA SEPULVEDA,QUILICURA,Stgo. Norte (Chacabuco),METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.36635851,-70.75484902,205,184,,204,,87,88,,204,
2009,25001,COLEGIO GREENLAND SCHOOL,ESTACIÓN CENTRAL,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Pagado,URBANO,FUNCIONANDO,-33.45705839,-70.72624895,303,312,,303,,97,99,,303,
2009,25002,ESCUELA BASICA PADRE ALBERTO HURTADO,PUENTE ALTO,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.59153116,-70.60113637,220,213,,222,,102,103,,222,
2009,25005,ESC. BAS.SAN AGUSTIN DE CERRILLOS,CERRILLOS,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.50108527,-70.72166519,248,226,,234,,28,28,,234,
2009,25009,LICEO VALLE DE LLUTA,SAN BERNARDO,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Municipal,URBANO,FUNCIONANDO,-33.58401107,-70.66795119,203,190,,200,,59,59,,200,
2009,25012,COLEGIO PART.SAN SEBASTIAN DE MELIPILLA,MELIPILLA,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.68590675,-71.21162329,256,254,,267,,77,78,,267,
2009,25014,CENTRO DE EDUCACION PAULA JARAQUEMADA,SAN RAMÓN,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.55130618,-70.64409020,213,193,,199,,23,21,,199,
2009,25016,ESC.BASICA SAN MARCELO  ANEXO,LA GRANJA,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.54834939,-70.63173459,271,272,,264,,96,96,,264,
2009,25017,ESC. BAS. PATR. WILLINS HOOVER KURT,LA CISTERNA,Santiago Sur,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.52593782,-70.66771808,297,291,,275,,20,21,,275,
2009,25019,ESC.BASICA PARTICULAR SAN PABLO APOSTOL,MELIPILLA,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.67277100,-71.21218800,214,192,,199,,8,8,,199,
2009,25025,ESCUELA BASICA PART.MADRE DE JESUS,MAIPÚ,Santiago Poniente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.51144557,-70.75262723,287,276,,278,,33,33,,278,
2009,25026,COLEGIO POLIV. FRANCISCO DE VILLAGRA,PEÑAFLOR,Talagante,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.60425952,-70.86295027,245,233,,243,,67,69,,243,
2009,25027,COLEGIO POLIV. NUEVA NAZARET,LA PINTANA,Cordillera,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.58157896,-70.61610133,266,258,,269,,36,38,,269,
2009,25028,CENTRO EDUC. DIEGO DE ALMAGRO,PEÑALOLÉN,Santiago Oriente,METROPOLITANA DE SANTIAGO          ,13,Particular Subvencionado,URBANO,FUNCIONANDO,-33.48422679,-70.56415944,270,258,,263,,44,45,,263,
